Deskripsi,Kategori
Pembelian minyak goreng untuk produksi,Pembelian Bahan Baku
Pembelian botol plastik untuk minuman,Pembelian Bahan Baku
Endorsement produk ke influencer,Marketing
Pembayaran insentif produksi,Gaji Tenaga Kerja Langsung
Pembayaran insentif staf gudang,Gaji Tenaga Kerja tidak Langsung
Biaya pemeliharaan jaringan internet,Utilitas
Pembelian tepung terigu untuk produksi roti,Pembelian Bahan Baku
Biaya pemeliharaan jaringan internet,Utilitas
Pembayaran bulanan sewa tempat,Sewa Tempat
Biaya penyusutan peralatan,Overhead Production
Biaya sewa booth bazar,Sewa Tempat
Pembelian bahan kimia pembersih,Pembelian Bahan Baku
Biaya listrik tambahan untuk operasional,Overhead Production
Pembelian kopi biji untuk kedai,Pembelian Bahan Baku
Biaya pemeliharaan jaringan internet,Utilitas
Biaya sewa booth bazar,Sewa Tempat
Pengeluaran untuk banner toko,Marketing
Pengeluaran untuk banner toko,Marketing
Biaya listrik tambahan untuk operasional,Overhead Production
Pengeluaran untuk diskon promosi,Marketing
Pembayaran bulanan sewa tempat,Sewa Tempat
Honor kerja lembur bagian produksi,Gaji Tenaga Kerja Langsung
Gaji operator mesin produksi,Gaji Tenaga Kerja Langsung
Biaya servis peralatan produksi,Overhead Production
Biaya iklan digital di media sosial,Marketing
Gaji pengelola operasional,Gaji Tenaga Kerja tidak Langsung
Langganan internet untuk kantor,Utilitas
Pembayaran bulanan sewa tempat,Sewa Tempat
Pengeluaran untuk diskon promosi,Marketing
Biaya penyelenggaraan event promosi,Marketing
Pembelian kemasan karton untuk produk,Pembelian Bahan Baku
Sewa kios harian di pasar,Sewa Tempat
Biaya pembuatan konten iklan,Marketing
Upah staf gudang,Gaji Tenaga Kerja tidak Langsung
Biaya perawatan mesin produksi,Overhead Production
Pengeluaran untuk diskon promosi,Marketing
Pembayaran bulanan sewa tempat,Sewa Tempat
Pengeluaran alat tulis bagian produksi,Overhead Production
Biaya listrik tambahan untuk operasional,Overhead Production
Biaya perawatan mesin produksi,Overhead Production
Pengeluaran untuk diskon promosi,Marketing
Biaya sewa booth bazar,Sewa Tempat
Biaya perawatan mesin produksi,Overhead Production
Pembelian sayuran segar untuk katering,Pembelian Bahan Baku
Pembelian bahan kimia pembersih,Pembelian Bahan Baku
Endorsement produk ke influencer,Marketing
Pembelian minyak goreng untuk produksi,Pembelian Bahan Baku
Sewa kios harian di pasar,Sewa Tempat
Upah staf gudang,Gaji Tenaga Kerja tidak Langsung
Gaji administrasi kantor,Gaji Tenaga Kerja tidak Langsung
Langganan internet untuk kantor,Utilitas
Gaji karyawan dapur katering,Gaji Tenaga Kerja Langsung
Honor sopir logistik,Gaji Tenaga Kerja tidak Langsung
Pembelian minyak goreng untuk produksi,Pembelian Bahan Baku
Biaya pengganti sparepart mesin,Overhead Production
Pembelian alat pelindung diri,Overhead Production
Pembayaran listrik bulanan pabrik,Utilitas
Langganan internet untuk kantor,Utilitas
Pembayaran bulanan sewa tempat,Sewa Tempat
Gaji administrasi kantor,Gaji Tenaga Kerja tidak Langsung
Biaya sewa booth bazar,Sewa Tempat
Biaya pemeliharaan jaringan internet,Utilitas
Honor sopir logistik,Gaji Tenaga Kerja tidak Langsung
Gaji pengelola operasional,Gaji Tenaga Kerja tidak Langsung
Biaya iklan digital di media sosial,Marketing
Sewa gudang kecil untuk barang,Sewa Tempat
Sewa kios harian di pasar,Sewa Tempat
Pemeliharaan fasilitas produksi,Overhead Production
Pembelian sayuran segar untuk katering,Pembelian Bahan Baku
Biaya sewa booth bazar,Sewa Tempat
Pemasangan iklan spanduk,Marketing
Upah staf pengisi barang,Gaji Tenaga Kerja Langsung
Pembayaran tagihan PLN prabayar,Utilitas
Biaya listrik tambahan untuk operasional,Overhead Production
Sewa ruko untuk operasional usaha,Sewa Tempat
Upah staf pengisi barang,Gaji Tenaga Kerja Langsung
Sewa ruko untuk operasional usaha,Sewa Tempat
Sewa tempat produksi mingguan,Sewa Tempat
Pembayaran listrik bulanan pabrik,Utilitas
Biaya iklan digital di media sosial,Marketing
Sewa gudang kecil untuk barang,Sewa Tempat
Pembelian daging ayam untuk usaha kuliner,Pembelian Bahan Baku
Pemeliharaan fasilitas produksi,Overhead Production
Pembelian alat pelindung diri,Overhead Production
Biaya sewa tempat penyimpanan,Sewa Tempat
Pengeluaran untuk banner toko,Marketing
Cetak brosur promosi produk,Marketing
Jasa SEO website usaha,Marketing
Pemasangan iklan spanduk,Marketing
Pemeliharaan fasilitas produksi,Overhead Production
Upah staf pengisi barang,Gaji Tenaga Kerja Langsung
Endorsement produk ke influencer,Marketing
Gaji operator mesin produksi,Gaji Tenaga Kerja Langsung
Pembelian kopi biji untuk kedai,Pembelian Bahan Baku
Endorsement produk ke influencer,Marketing
Biaya perawatan mesin produksi,Overhead Production
Sewa kios harian di pasar,Sewa Tempat
Gaji karyawan dapur katering,Gaji Tenaga Kerja Langsung
Pemeliharaan fasilitas produksi,Overhead Production
Biaya perawatan mesin produksi,Overhead Production
Pembayaran tagihan PLN prabayar,Utilitas
Pembelian tepung terigu untuk produksi roti,Pembelian Bahan Baku
Pembelian kemasan karton untuk produk,Pembelian Bahan Baku
Jasa SEO website usaha,Marketing
Pemasangan iklan spanduk,Marketing
Bonus kinerja staf produksi,Gaji Tenaga Kerja Langsung
Biaya pulsa modem usaha,Utilitas
Honor sopir logistik,Gaji Tenaga Kerja tidak Langsung
Bonus kinerja staf produksi,Gaji Tenaga Kerja Langsung
Biaya iklan digital di media sosial,Marketing
Gaji staf quality control,Gaji Tenaga Kerja tidak Langsung
Sewa ruang kerja kantor,Sewa Tempat
Pembelian botol plastik untuk minuman,Pembelian Bahan Baku
Upah harian karyawan pengemasan,Gaji Tenaga Kerja Langsung
Gaji administrasi kantor,Gaji Tenaga Kerja tidak Langsung
Biaya sewa booth bazar,Sewa Tempat
Pemeliharaan fasilitas produksi,Overhead Production
Gaji pengelola operasional,Gaji Tenaga Kerja tidak Langsung
Sewa ruang kerja kantor,Sewa Tempat
Pembelian sayuran segar untuk katering,Pembelian Bahan Baku
Biaya penyusutan peralatan,Overhead Production
Biaya gas elpiji untuk dapur produksi,Utilitas
Pembelian sayuran segar untuk katering,Pembelian Bahan Baku
Sewa gudang kecil untuk barang,Sewa Tempat
Pembelian daging ayam untuk usaha kuliner,Pembelian Bahan Baku
Gaji teknisi mesin produksi,Gaji Tenaga Kerja Langsung
Pengeluaran untuk banner toko,Marketing
Pengeluaran untuk banner toko,Marketing
Upah staf gudang,Gaji Tenaga Kerja tidak Langsung
Langganan wifi di area produksi,Utilitas
Sewa gudang kecil untuk barang,Sewa Tempat
Biaya penyelenggaraan event promosi,Marketing
Pembelian daging ayam untuk usaha kuliner,Pembelian Bahan Baku
Gaji operator mesin produksi,Gaji Tenaga Kerja Langsung
Biaya gas elpiji untuk dapur produksi,Utilitas
Biaya penyusutan peralatan,Overhead Production
Biaya iklan digital di media sosial,Marketing
Pembelian botol plastik untuk minuman,Pembelian Bahan Baku
